epoch,accuracy,loss,val_accuracy,val_loss
0,0.20743589103221893,1.8018252849578857,0.3155737817287445,1.6847447156906128
1,0.36076924204826355,1.5845348834991455,0.41495901346206665,1.4665035009384155
2,0.42846155166625977,1.420992374420166,0.45696720480918884,1.3576915264129639
3,0.4843589663505554,1.316506028175354,0.4549180269241333,1.359910011291504
4,0.5356410145759583,1.2246739864349365,0.5,1.277781367301941
5,0.5687179565429688,1.1214392185211182,0.4723360538482666,1.4112615585327148
6,0.5907692313194275,1.0665724277496338,0.4795081913471222,1.350095510482788
7,0.6341025829315186,0.968813419342041,0.44672131538391113,1.5252771377563477
8,0.6784615516662598,0.8597546219825745,0.4764344394207001,1.4027453660964966
9,0.7187179327011108,0.757607102394104,0.47745901346206665,1.5166209936141968
10,0.7507692575454712,0.6719189882278442,0.4928278625011444,1.4726879596710205
11,0.7917948961257935,0.5687597990036011,0.49077868461608887,1.4690455198287964
12,0.8302564024925232,0.4721239507198334,0.4538934528827667,1.8778364658355713
13,0.8584615588188171,0.4194785952568054,0.46721312403678894,1.7653628587722778
14,0.881538450717926,0.3319184184074402,0.4866803288459778,1.896407961845398
15,0.9076923131942749,0.27968209981918335,0.4969262182712555,2.068249464035034
16,0.9197435975074768,0.22878867387771606,0.4836065471172333,2.0734009742736816
17,0.9307692050933838,0.2027367800474167,0.4303278625011444,2.4206440448760986
18,0.9356410503387451,0.20607048273086548,0.5030737519264221,2.2658302783966064
19,0.9458974599838257,0.16780374944210052,0.4856557250022888,2.285195827484131
20,0.9556410312652588,0.13987502455711365,0.4866803288459778,2.422189474105835
21,0.9556410312652588,0.1314423829317093,0.48463115096092224,2.899677038192749
22,0.9607692360877991,0.11507195979356766,0.46721312403678894,2.463489294052124
23,0.9656410217285156,0.10211436450481415,0.48155736923217773,2.7727346420288086
24,0.9653846025466919,0.10281416028738022,0.44262295961380005,2.6284446716308594
25,0.9730769395828247,0.08695345371961594,0.47438523173332214,2.7121801376342773
26,0.9725641012191772,0.08266875892877579,0.47028687596321106,2.8890459537506104
27,0.9682051539421082,0.09623242914676666,0.47438523173332214,2.603114366531372
28,0.9751282334327698,0.08226490020751953,0.4590163826942444,2.8457772731781006
29,0.9800000190734863,0.06637856364250183,0.49487704038619995,3.0140230655670166
