epoch,accuracy,loss,val_accuracy,val_loss
0,0.1876923143863678,1.798841953277588,0.31045082211494446,1.7007365226745605
1,0.2889743447303772,1.6988240480422974,0.33913934230804443,1.6050631999969482
2,0.3430769145488739,1.5889267921447754,0.4026639461517334,1.496909737586975
3,0.39153847098350525,1.5069388151168823,0.40163934230804443,1.459959864616394
4,0.3920512795448303,1.4813628196716309,0.3883196711540222,1.5091804265975952
5,0.4092307686805725,1.4677680730819702,0.43545082211494446,1.4020849466323853
6,0.42512819170951843,1.437330722808838,0.4272541105747223,1.432917833328247
7,0.4294871687889099,1.4226155281066895,0.4538934528827667,1.382331371307373
8,0.4317948818206787,1.3999959230422974,0.44569671154022217,1.3819905519485474
9,0.4451282024383545,1.3861323595046997,0.45286884903907776,1.3424514532089233
10,0.44948717951774597,1.3683111667633057,0.47438523173332214,1.31305730342865
11,0.4638461470603943,1.3742172718048096,0.48463115096092224,1.3076369762420654
12,0.4730769097805023,1.347379207611084,0.4959016442298889,1.291961431503296
13,0.48025640845298767,1.3261202573776245,0.4938524663448334,1.2938544750213623
14,0.472820520401001,1.3221153020858765,0.47745901346206665,1.288406252861023
15,0.4774358868598938,1.3235719203948975,0.4887295067310333,1.3040850162506104
16,0.4866666793823242,1.3008091449737549,0.4764344394207001,1.3082499504089355
17,0.48974359035491943,1.2940832376480103,0.4887295067310333,1.2736791372299194
18,0.5117948651313782,1.274247646331787,0.5122950673103333,1.2618250846862793
19,0.5071794986724854,1.2782636880874634,0.5317623019218445,1.2563105821609497
20,0.5020512938499451,1.2696678638458252,0.4836065471172333,1.3151780366897583
21,0.5230769515037537,1.2481400966644287,0.5122950673103333,1.2484192848205566
22,0.519487202167511,1.2298798561096191,0.4590163826942444,1.368604302406311
23,0.5341025590896606,1.2358099222183228,0.5491803288459778,1.212503433227539
24,0.5212820768356323,1.2272765636444092,0.5420082211494446,1.2304069995880127
25,0.5215384364128113,1.2087056636810303,0.5235655903816223,1.2366671562194824
26,0.5369230508804321,1.196251630783081,0.5040983557701111,1.2838531732559204
27,0.5487179756164551,1.1865872144699097,0.5461065769195557,1.2099343538284302
28,0.5400000214576721,1.1999725103378296,0.41905736923217773,1.54665207862854
29,0.5392307639122009,1.1880320310592651,0.501024603843689,1.279170274734497
0,0.5448718070983887,1.1755766868591309,0.5040983557701111,1.2673512697219849
1,0.5469231009483337,1.163604974746704,0.506147563457489,1.3943417072296143
2,0.5633333325386047,1.1450985670089722,0.506147563457489,1.29535710811615
3,0.5615384578704834,1.1517434120178223,0.5522540807723999,1.2063190937042236
4,0.5587179660797119,1.148838996887207,0.5358606576919556,1.2231794595718384
5,0.5733333230018616,1.132507085800171,0.5389344096183777,1.2376806735992432
6,0.5741025805473328,1.1089684963226318,0.5040983557701111,1.2866830825805664
7,0.571794867515564,1.1128392219543457,0.48053279519081116,1.376744031906128
8,0.5887179374694824,1.0799756050109863,0.5409836173057556,1.225502848625183
9,0.5928205251693726,1.091782569885254,0.5174180269241333,1.2800967693328857
10,0.5984615087509155,1.077332615852356,0.5297130942344666,1.2145874500274658
11,0.5899999737739563,1.0666263103485107,0.5,1.3982517719268799
12,0.595641016960144,1.0653870105743408,0.5215163826942444,1.2550193071365356
13,0.593589723110199,1.0553677082061768,0.5286885499954224,1.225303292274475
14,0.6007692217826843,1.0460119247436523,0.5317623019218445,1.2471500635147095
15,0.6117948889732361,1.0245347023010254,0.5594262480735779,1.2042326927185059
16,0.6125640869140625,1.0207759141921997,0.5440573692321777,1.2070977687835693
17,0.6241025924682617,1.0155450105667114,0.5399590134620667,1.291035771369934
18,0.6297435760498047,0.9995505213737488,0.5584016442298889,1.1939114332199097
19,0.6146153807640076,1.0105406045913696,0.5215163826942444,1.2942126989364624
20,0.6192307472229004,1.0014214515686035,0.5573770403862,1.214797019958496
21,0.6341025829315186,0.9736330509185791,0.5491803288459778,1.2517575025558472
22,0.6392307877540588,0.9859416484832764,0.5440573692321777,1.210821509361267
23,0.6387179493904114,0.9625526070594788,0.5502049326896667,1.2327312231063843
24,0.6351282000541687,0.9663935303688049,0.5327869057655334,1.239617943763733
25,0.6351282000541687,0.9575108289718628,0.5461065769195557,1.2746915817260742
26,0.6433333158493042,0.950822651386261,0.5512295365333557,1.210675835609436
27,0.6512820720672607,0.9354140162467957,0.5625,1.2195208072662354
28,0.6479487419128418,0.9451394081115723,0.5553278923034668,1.2696183919906616
29,0.6499999761581421,0.9281889796257019,0.5491803288459778,1.2604668140411377
