epoch,accuracy,loss
0,0.23051682114601135,1.7739077806472778
1,0.3646431565284729,1.560123324394226
2,0.4011484682559967,1.4912312030792236
3,0.4288351237773895,1.4332985877990723
4,0.43396225571632385,1.4129120111465454
5,0.44155046343803406,1.3872243165969849
6,0.4479081332683563,1.3769443035125732
7,0.4692370891571045,1.3485201597213745
8,0.47641509771347046,1.3271514177322388
9,0.47826087474823,1.3148164749145508
10,0.5018457770347595,1.294012188911438
11,0.5010254383087158,1.2747130393981934
12,0.518047571182251,1.2375963926315308
13,0.5227645635604858,1.225141167640686
14,0.536095142364502,1.1896194219589233
15,0.5457342267036438,1.1522570848464966
16,0.5803937911987305,1.099003553390503
17,0.6089007258415222,1.0137745141983032
18,0.6536095142364502,0.9252897500991821
19,0.6931911110877991,0.8022221326828003
20,0.7348236441612244,0.7010903358459473
21,0.7584085464477539,0.6424858570098877
22,0.789786696434021,0.562340497970581
23,0.8090648055076599,0.5125343799591064
24,0.8203445672988892,0.48248299956321716
25,0.8410582542419434,0.42690762877464294
26,0.8543888330459595,0.39214658737182617
27,0.8580803871154785,0.38412317633628845
28,0.8646431565284729,0.35986053943634033
29,0.8705906271934509,0.34810346364974976
